"Page GID","Page handle","Page title","Metafield namespace","Metafield key","Metafield type","Metafield value"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK215_ds_v2","string","https://premio.blob.core.windows.net/premio/uploads/2017/02/PI-DK215_ds_v2.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK190_ds_v2","string","https://premio.blob.core.windows.net/premio/uploads/2017/02/PI-DK190_ds_v2.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK185_ds_v2","string","https://premio.blob.core.windows.net/premio/uploads/2017/02/PI-DK185_ds_v2.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK156_ds_v2","string","https://premio.blob.core.windows.net/premio/uploads/2017/02/PI-DK156_ds_v2.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK150_ds_v2","string","https://premio.blob.core.windows.net/premio/uploads/2017/02/PI-DK150_ds_v2.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK121_ds_v2","string","https://premio.blob.core.windows.net/premio/uploads/2017/07/PI-DK121_ds_v2.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK104_ds_v3","string","https://premio.blob.core.windows.net/premio/uploads/2016/12/PI-DK104_ds_v3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK101_ds_v3","string","https://premio.blob.core.windows.net/premio/uploads/2017/07/PI-DK101_ds_v3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 21.5"" Datasheet","string","21.5"", PI-DK215_ds_v2"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 19"" Datasheet","string","19"", PI-DK190_ds_v2"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 18.5"" Datasheet","string","18.5"", PI-DK185_ds_v2"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 15.6"" Datasheet","string","15.6"", PI-DK156_ds_v2"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 15"" Datasheet","string","15"", PI-DK150_ds_v2"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 12.1"" Datasheet","string","12.1"", PI-DK121_ds_v2"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 10.4"" Datasheet","string","10.4"", PI-DK104_ds_v3"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 10.1"" Datasheet","string","10.1"", PI-DK101_ds_v3"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 21.5"" 2D Drawing","string","21.5"", PI-DK215R30FH01, PI-DK215P30FH01"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 19"" 2D Drawing","string","19"", PI-DK190R35SX01, PI-DK190PK6SX01, PI-DK190P35SX01"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 18.5"" 2D Drawing","string","18.5"", PI-DK185P35FH01, PI-DK185P30HD01"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 15.6"" 2D Drawing","string","15.6"", PI-DK156P40FH01, PI-DK156P30HD01"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 15"" 2D Drawing","string","15"", PI-DK150R40XG01, PI-DK150P40XG01"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 12.1"" 2D Drawing","string","12.1"", PI-DK121R50XG01, PI-DK121P50XG01"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 10.4"" 2D Drawing","string","10.4"", PI-DK104P50XG01, PI-DK104P40SV01"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK 10.1"" 2D Drawing","string","10.1"", PI-DK101R50WX01, PI-DK101P50WX01"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK101P50WX01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK101P50WX01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK101R50WX01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK101R50WX01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK104P40SV01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK104P40SV01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK104P50XG01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK104P50XG01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK121P50XG01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK121P50XG01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK121R50XG01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK121R50XG01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK150P40XG01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK150P40XG01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK150R40XG01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK150R40XG01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK156P30HD01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK156P30HD01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK156P40FH01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK156P40FH01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK185P30HD01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK185P30HD01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK185P35FH01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK185P35FH01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK190P35SX01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK190P35SX01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK190PK6SX01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK190PK6SX01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK190R35SX01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK190R35SX01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK215P30FH01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK215P30FH01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PI-DK215R30FH01","string","https://premio.blob.core.windows.net/premio/uploads/resource/PI-DK215R30FH01.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Tyan S8026GM2NRE","string","Tyan S8026GM2NRE, S8026_BMC, S8026_v100"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS424S-UN-Quick-Guide-v1","string","https://premio.blob.core.windows.net/premio/uploads/2017/10/DSS424S-UN-Quick-Guide-v1.00.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS424S-UN-AVL","string","https://echostreams.blob.core.windows.net/avl/DSS424S-UN%20AVL.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DuraStreams-DSS424S-UN","string","https://premio.blob.core.windows.net/premio/uploads/2017/10/DuraStreams-DSS424S-UN.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS316S-UN-AVL","string","https://premio.blob.core.windows.net/premio/uploads/2017/12/DSS212S-UN-DSS316S-UN-AVL.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DuraStreams-DSS316S-UN","string","https://premio.blob.core.windows.net/premio/uploads/2017/10/DuraStreams-DSS316S-UN.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS224S-UN-Quick-Guide-v1","string","https://premio.blob.core.windows.net/premio/uploads/2017/12/DSS224S-UN-Quick-Guide-v1.00.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS224S-UN-AVL","string","https://echostreams.blob.core.windows.net/avl/DSS224S-UN-AVL.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DuraStreams-DSS224S-UN","string","https://premio.blob.core.windows.net/premio/uploads/2017/10/DuraStreams-DSS224S-UN.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DuraStreams_AMD_pb","string","https://premio.blob.core.windows.net/premio/uploads/2017/11/DuraStreams_AMD_ProductBrief_Premio.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS212S-UN-Quick-Guide-v1","string","https://premio.blob.core.windows.net/premio/uploads/2017/12/DSS212S-UN-Quick-Guide-v1.00.pdf"
