"Product GID","Product handle","Product title","Metafield namespace","Metafield key","Metafield type","Metafield value"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","FRONT-I/O","string","Power On/OFF with LED, Reset Switch, NMI Switch, Locate Switch with LED, 4xLAN LED, Warning LED"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","POWER-INPUT","string","1+1 800W AC/DC 80 Plus Redundant PSU; Optional - 48V DC input availble upon request"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","product series","string","DuraStreams"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","resource_Data Sheet","string","DS_DSS212S-U5_E"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","STORAGE","string","Each node: 36 ports 12G SAS Expander with 3 SFF8643 Connectors"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","SYSTEM-CHIPSET","string","Intel® C622 chipset"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","SYSTEM-MEMORY","string","Each Node: Supports up to 6x DIMMs DDR4 RDIMM/RDIMM 3DS/LRDIMM/LRDIMM 3DS 2666"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","title","string","DSS212S-U5"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","171_Driver Bays","string","12 hot-swap 3.5"" 12G/6G SAS/SATA drive bay; Each node: 2x internal 2.5"" 7mm for OS drive bays"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","220_Cooling","string","Each node: 5x 40 mm fans"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","739_HTS Code","string","8473 30 5100"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","740_ECCN","string","4A994"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","741_Compliance","string","CE, FCC Class A, RoHS 6/6 compliant"
